NAME,ID_RSSD,AsOfDate,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832
TD GROUP US HOLDINGS LLC,3606542,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85884,31150163,5418847,30847850,11861892129,52105555,64759148,449521750,62641000,2640341,61424766,580150676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BNP PARIBAS,1231968,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65774,31141900,27962060,39207665,19000047994,971378633,48497436,174193306,50606437,19820974,3199307,230335299
CANADIAN IMPERIAL BANK OF COMMERCE,1231342,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17113,18425440,10596490,44841860,3006333422,59836032,13838291,60553916,36623563,2383194,178913,171549282
SOCIETE GENERALE,1242375,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,415350,32980572,2931435,2137737,11001807946,72530638,21361405,32500887,56063081,15648955,782718,239938417
"BANK OF NOVA SCOTIA, THE",1238967,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,19216805,13754263,24414131,30849568756,1364615,30729972,0,106396515,17454440,1131153,203459892
HSBC HOLDINGS PLC,1857108,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,351015,38270782,29859822,35969496,48147028486,617885133,50196606,4266344965,33941000,0,10327665,293669154
"BANCO SANTANDER, S.A.",1239254,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1723527,26400594,30712050,77386600,6699166027,0,41156449,683641889,11867478,16327000,3617838,260922292
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",3133262,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,691781,99037777,10450117,70689848,7481123720,0,48352537,4899647679,61377562,14514977,3000184,368642944
"MITSUBISHI UFJ FINANCIAL GROUP, INC.",2961897,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4383657,39001431,19757317,119109785,9365922844,91744262,58963070,1019947642,131770742,28368246,16628063,427435865
BARCLAYS PLC,1231418,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6443000,13221000,9683000,27812000,50184235000,64901000,93065000,426719000,86442000,23378000,9253000,377126400
DEUTSCHE BANK AKTIENGESELLSCHAFT,1242423,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4434000,48988000,50181254,83970000,90100672000,73334000,62360000,2764304000,96956000,26894000,8398000,405124100
"MIZUHO FINANCIAL GROUP, INC.",3185355,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7500,36022881,142135352,49185996,50360283670,294972341,73999474,9606243062,164387847,32533016,15956904,447596258
ROYAL BANK OF CANADA,1232497,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,758930,42514381,31666694,35553362,12282005908,571949162,111769022,84424943,78817849,7701922,11723868,484025746
UBS GROUP AG,4795461,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4502473,47533313,87959059,19373132,12555843576,1947660987,27830370,893596127,49721816,21339585,6106465,435593088
BANK OF MONTREAL,1231333,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,854467,110023531,36125412,77501361,13296861656,404252317,39206166,232872449,59942000,10433000,5170270,480653682
"TORONTO-DOMINION BANK, THE",1238565,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85884,50222528,8184583,73685052,14235777150,52105555,64759148,5434394001,98277358,2866156,65494610,684553288
