ï»¿Name (Legal),DT,ID_RSSD,RISKG506,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832,,,,,,,,,,,,,,,,,,,,,,,,,
"SANTANDER HOLDINGS USA, INC.",20211231,3981856,,,,,,,,,,,,,115529,4487844,24878651,40851709,270580641,0,24938913,62260457,4453404,11240081,1376416,171206524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBS GROUP AG,20211231,4795461,,,,,,,,,,,,,,,,,,,,,,,,,2902795,34055286,65557276,3470577,1276507729,2019540171,28083884,949064578,46585445,29157163,7271738,329675992,,,,,,,,,,,,,,,,,,,,,,,,,
UBS AMERICAS HOLDING LLC,20211231,4846998,,,,,,,,,,,,,2484904,10626085,33925685,58141,603907420,2019540171,28083884,51813433,14769000,16571313,5245988,222595379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARCLAYS US LLC,20211231,5006575,,,,,,,,,,,,,176000,19122000,1773000,6740000,36766512000,26784000,150271000,283345000,64146000,26950000,7391000,233108400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWS USA CORPORATION,20211231,5149016,,,,,,,,,,,,,264507,372782,0,136632,1786507,0,0,0,319251,190232,285963,2289389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC US GROUP HOLDINGS LLC,20211231,5280254,,,,,,,,,,,,,127311,23364544,40284088,1016067,8267869100,562554438,142917329,42722315,11642000,7969870,8680138,194127965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
